"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"357",2044,"162.101_220291","2022-12-29",-77.9953779297498,34.0769788571761,NA,0,0,"bluepond",1,0.750950590625539,1.18733050213286,-0.499698781722315,-0.561259613770096,-0.503251100114711,-0.281902246503874,-0.503596354326725,-0.548215286088905,-0.19718258498519,0.100610484427956,-0.129791038971925,-0.629495104610662
"549",2318,"162.120_220887","2022-12-28",-77.9795756082354,34.0699734919037,NA,0,0,"bigbay",0,0.825368187728778,0.337482591639063,-0.32531802711402,0.246924323076069,-0.379664836606292,-0.281902246503874,0.219093080230083,-0.483685420528101,-0.855893361222414,-0.808291562881573,-0.559522186373187,0.478404836614655
"577",2346,"162.120_220887","2022-12-28",-77.988326769366,34.0698071018918,NA,0,0,"bigbay",1,0.965908996195796,-0.364565735200139,-0.499698781722315,1.32450290553763,-0.503251100114711,-0.281902246503874,1.19360347467136,-0.0296568906391861,-0.826148206105428,-0.80878705549952,0.280508231033786,-0.458146372966242
"589",2358,"162.120_220887","2022-12-28",-77.9846413753499,34.0744604684073,52,0,1,"bigbay",1,1.02523259137747,-1.17746370628316,2.05788568762587,0.0224288511318233,-0.503251100114711,-0.281902246503874,-0.0131373458881787,0.524998357202928,-0.978315156331956,-0.272590053818555,0.264069472307538,-0.94569132716421
"765",3212,"162.192_220862","2022-12-28",-77.9905601342558,34.0672273338191,NA,0,0,"bigbay",1,0.951546908016083,-1.43611305379867,-0.499698781722315,2.62657711850802,-0.503251100114711,-0.281902246503874,2.46058518046537,1.03972688872432,-0.336834970624836,-0.80878705549952,-0.213104331412939,-0.315459460365574
"786",3233,"162.192_220862","2022-12-28",-77.9787766081506,34.0661933584618,NA,0,0,"bigbay",0,0.514972203030731,1.03953074448976,-0.499698781722315,-0.471461372137536,-0.503251100114711,-0.281902246503874,-0.465277307347442,-0.548215286088905,-0.352430315650703,-0.185876906249268,0.711494579238466,0.84402778006357
"788",3235,"162.192_220862","2022-12-28",-77.9895833607657,34.0706639039861,52,0,1,"bigbay",1,0.134760586181462,-0.623215050092802,0.953474224666705,0.38162165909748,-0.503251100114711,-0.281902246503874,-0.879227124566081,-0.548215286088905,-0.951362083052301,-0.387383950115752,0.862899118451678,-0.932439282163071
"1791",5997,"162.309_220690","2022-12-29",-78.0096467042564,34.0844622434808,NA,0,0,"bluepond",0,0.324447339608806,0.965631039656712,-0.499698781722315,-0.381663156932405,-0.503251100114711,-0.281902246503874,-0.847319987974352,-0.548215286088905,-0.639419585027595,-0.0971657181865138,-0.10005996581792,0.0974672915899487
"1792",5998,"162.309_220690","2022-12-29",-77.9907262025986,34.0828157463024,NA,0,0,"bluepond",0,0.386949182354251,-0.0689663939024461,-0.499698781722315,0.561218142362602,0.361852717165838,-0.281902246503874,0.0987130825682188,-0.322364254037403,0.77478633952668,-0.80878705549952,-0.887329411141384,-0.989122321638556
"1818",6024,"162.309_220690","2022-12-29",-78.0085688994611,34.0723896388854,52,0,1,"bluepond",0,1.1383804966533,0.743931577180571,-0.499698781722315,-0.830654259385485,1.47412911602,-0.281902246503874,-0.365485046255821,-0.548215286088905,-0.200702912799593,0.350316618889297,-1.03232197963397,-0.511847828274921
"1878",6417,"162.327_220868","2022-12-28",-77.9857169346452,34.0635698490864,NA,0,0,"bigbay",1,-0.254159887393637,-0.179816125140518,-0.499698781722315,1.01020929767054,-0.503251100114711,-0.281902246503874,0.74656999632182,-0.548215286088905,0.473860561048991,-0.772254250641925,-0.0857169416094255,-0.421793200919383
"1879",6418,"162.327_220868","2022-12-28",-77.9660352396972,34.0655050313751,NA,0,0,"bigbay",0,-0.287471894671448,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,0.291012638939723,-0.548215286088905,0.975406803436714,2.56465152706979,0.563895267190284,-0.297836952529766
"1891",6430,"162.327_220868","2022-12-28",-77.9896098269306,34.0706509965312,52,0,1,"bigbay",1,0.134760586181462,-0.623215050092802,0.953474224666705,0.38162165909748,-0.503251100114711,-0.281902246503874,-0.879227124566081,-0.548215286088905,-0.951362083052301,-0.387383950115752,0.862899118451678,-0.932439282163071
"2184",7038,"162.372_220114","2022-12-29",-77.9933156254126,34.0784349189375,52,0,1,"bluepond",1,-0.059479427081987,1.00258097906749,-0.499698781722315,-0.291864968154706,-0.503251100114711,-0.281902246503874,-0.599126025596594,-0.548215286088905,0.0806687257975077,-0.167373520578617,-0.315847454633763,-0.594804931564167
"2241",7095,"162.372_220114","2022-12-29",-77.9850678864948,34.077439647893,NA,0,0,"bluepond",1,0.133714285691415,-1.58391269182467,-0.499698781722315,1.68369587206787,-0.503251100114711,-0.281902246503874,-0.649997268882292,3.06551734689965,-0.532939559296058,-0.804812426504692,2.05536432739361,-0.894882329561078
"2248",7102,"162.372_220114","2022-12-29",-78.0171849379888,34.084974660804,NA,0,0,"bluepond",1,0.478616794510056,0.448332235882879,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,-1.12050560077779,-0.548215286088905,-0.147525391731628,-0.391097434218578,0.862592808295928,-0.607940955803455
"3047",8437,"162.462_220881","2022-12-27",-77.9642706527087,34.0709340097581,NA,0,0,"bigbay",1,-0.632336394399634,0.00493331093059409,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.179476132925869,-0.618605479058602,-0.380096318831959,0.948208882916053,0.708158968699554,0.319540717922562,-1.06159665895573
"3060",8450,"162.462_220881","2022-12-27",-77.9750011650654,34.0598289544762,52,0,1,"bigbay",1,-0.248413829718844,0.596131993525979,-0.499698781722315,0.112227092764383,-0.503251100114711,-0.281902246503874,-1.00533115167574,-0.548215286088905,0.907309631070762,-0.588614506610147,0.0207848482683316,-0.477900410486091
"3062",8452,"162.462_220881","2022-12-27",-77.9644314485428,34.0649575105577,NA,0,0,"bigbay",1,-0.0774181897736742,1.29818014637667,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.495190058653135,-0.548215286088905,1.28152847222152,0.911299373986812,0.561669572573045,0.25607820143019
"3553",9734,"162.515_220688","2022-12-29",-77.9992128727291,34.0845792583457,NA,0,0,"bluepond",1,0.391117194273522,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.0635993438087295,-0.548215286088905,1.07412290781407,0.690104875008549,-0.0461760981110118,-0.0808148185445424
"3580",9761,"162.515_220688","2022-12-29",-77.9942244994946,34.0836783397985,52,0,1,"bluepond",1,1.33505519271094,1.15038056272208,-0.499698781722315,-0.695956936577791,0.732611516783894,-0.0770500193478633,-1.01391413737949,-0.548215286088905,1.1239430454036,-0.13722560951422,-1.00674154446551,-1.1090014427046
"3592",9773,"162.515_220688","2022-12-29",-78.0105504850864,34.0714973300967,NA,0,0,"bluepond",1,0.529769390245916,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.632016485034851,-0.548215286088905,-0.205331068383308,0.847930697380929,-0.227490448252847,0.207454834836709
